#;Processor;Rating;AnTuTu 8;Geekbench 5*;Cores;Clock**;Brand
80;Kirin 710;32;158012;329 / 1176;8 (4+4);2200 Mhz;HiSilicon
81;Exynos 7880;31;-;143 / 907;8 (8);1900 Mhz;Samsung
82;Snapdragon 660;32;153614;329 / 1295;8 (4+4);2200 Mhz;Qualcomm
83;Kirin 659;31;-;194 / 871;8 (4+4);2360 Mhz;HiSilicon
84;Kirin 658;31;-;190 / 831;8 (4+4);2350 Mhz;HiSilicon
85;Exynos 7870;30;-;- / -;8 (8);1600 Mhz;Samsung
86;Exynos 7885;30;137390;314 / 1031;8 (4+4);2200 Mhz;Samsung
87;Kirin 655;30;-;172 / 830;8 (4+4);2120 Mhz;HiSilicon
88;Exynos 7904;30;105663;272 / 1012;8 (2+6);1800 Mhz;Samsung
89;Helio X20;29;-;265 / 793;10 (2+4+4);2100 Mhz;MediaTek
90;Kirin 650;29;-;166 / 797;8 (4+4);2000 Mhz;HiSilicon
91;Snapdragon 650;29;-;271 / 812;6 (2+4);1800 Mhz;Qualcomm
92;Snapdragon 801;27;-;- / -;4 (4);2500 Mhz;Qualcomm
93;Snapdragon 430;28;-;173 / 994;8 (8);1400 Mhz;Qualcomm
94;Helio P20;28;-;171 / 846;8 (8);2300 Mhz;MediaTek
95;Snapdragon 632;28;120008;264 / 1037;8 (4+4);1800 Mhz;Qualcomm
96;Helio G35;27;106716;173 / 989;8 (8);2300 Mhz;MediaTek
97;Kirin 935;27;-;- / -;8 (4+4);2200 Mhz;HiSilicon
98;Exynos 7570;26;-;- / -;4 (4);1400 Mhz;Samsung
99;Kirin 930;25;-;- / -;8 (4+4);2000 Mhz;HiSilicon
100;Snapdragon 439;25;87032;177 / 794;8 (4+4);2000 Mhz;Qualcomm
101;Snapdragon 435;25;-;125 / 571;8 (8);1400 Mhz;Qualcomm
102;Helio P35;25;94123;170 / 960;8 (8);2300 Mhz;MediaTek
103;Helio G25;24;88784;135 / 468;8 (8);2000 Mhz;MediaTek
104;Exynos 7420;24;112159;260 / 870;8 (4+4);2100 Mhz;Samsung
105;Snapdragon 450;24;87725;148 / 948;8 (8);1800 Mhz;Qualcomm
106;Helio P23;22;102031;153 / 847;8 (4+4);2300 Mhz;MediaTek
107;Snapdragon 652;23;96323;256 / 978;8 (4+4);1800 Mhz;Qualcomm
108;MediaTek MT6753;21;-;118 / 612;8 (8);1300 Mhz;MediaTek
109;Snapdragon 425;22;-;124 / 404;4 (4);1400 Mhz;Qualcomm
110;MediaTek MT6750;21;-;122 / 496;8 (4+4);1500 Mhz;MediaTek
111;Helio A22;21;78951;160 / 530;4 (4);2000 Mhz;MediaTek
112;MediaTek MT6739;21;-;- / -;4 (4);1500 Mhz;MediaTek
113;MediaTek MT6737;19;-;129 / 432;4 (4);1300 Mhz;MediaTek
114;MediaTek MT6580;15;-;- / -;4 (4);1300 Mhz;MediaTek
